1;1;Anillo Banda Brillante;10;59;El Anillo Banda Brillante. Una pieza esencial para cualquier coleccion, esta alianza con recubrimiento de oro de 14k se presenta embellecida con una fila de circonitas cubicas transparentes.;Metal, oro, circonita;4;;;
2;1;Pendientes Gemas Brillantes;15;119;Los Pendientes Gemas Brillantes. Estos pendientes con recubrimiento de oro de 14k se presentan embellecidos con seis gemas brillantes que cuelgan en una fila.;Metal, oro, circonita;5;;;
3;1;Pendientes de Aro;15;49;Los Pendientes de Aro Pandora Moments para Charm Pequeños. Estos pendientes en plata de primera ley presentan la famosa cadena de serpiente de Pandora.;Metal, plata;3;;;
4;1;Collar Perla;10;129;El Collar Perla Cultivada de Agua Dulce. Esta joya en plata de primera ley tiene una cadena de cable ajustable con un colgante de una luminosa perla cultivada de agua dulce tratada.;Plata;4;;;
5;2;Bolsa patatas Lays;15;1,5;Patatas doradas hechas a fuego lento dando lugar a un crujido y un sabor inigualables.;;;Calorias 153kcal, grasas 8,9g , azucares 0,2g, sal 0,26g;;
6;2;Sandwich jamon y queso;10;2,75;Sandwich emparedado con jamon y queso;;;Calorias 321,3kcal, grasas 12,69g , azucares 3,37g, sal 2,16g;;
7;2;Kinder bueno;20;1,5;KINDER BUENO son dos barritas de crujiente barquillo con relleno cremoso de leche y avellanas, recubiertas de una fina capa de delicioso chocolate con leche.;;;Calorias 244kcal, grasas 16g , azucares 17.8g, sal 0.116g;;
8;2;Barra de granola;20;1;Barras de granola Nature Valley Sweet & Salty, con cacahuates, avena integral, trozos de chocolate oscuro, almendras y base sumergida en cobertura sabor chocolate;;;Calorias 139kcal, grasas 7,1g , azucares 6,6g, sal 0,29g;;
9;3;Altavoz portatil JBL GO Essential Negro Bluetooth;10;27,9;JBL GO Essential es un altavoz con Bluetooth portatil y ultracompacto. Reproduce musica en streaming a traves de Bluetooth con una autonomia de hasta 5 horas y calidad de sonido JBL Pro original.;;;;true;true
10;3;Auriculares de boton Oppo Enco Air2 Pro True Wireless blancos;15;30;Auriculares inalambricos con cancelacion de ruido. Estuche de burbujas refractivas. Controladores de diafragma recubiertos de titanio de 12,4 mm. Resistencia al polvo y al agua IP54. Hasta 28 horas de tiempo de escucha.;;;;true;false
11;3;Bateria externa portatil Samsung EB-P3400 10000 mAh;20;45,9;El Powerbank de 10.000 mAh soporta hasta 25W con carga super rapida, ofreciendote un impulso rapido a traves del cable.;;;;false;false
12;3;Xiaomi Redmi Watch 3 Active Gris Smartwatch;10;50,99;"Gran pantalla LCD de 1,83"", compatible con llamadas Bluetooth, mas de 100 modos deportivos, seguimiento Fitness completo, resistencia al agua hasta 50m, baterias de larga duracion. Hasta 12 dias de bateria. Capacidad: 16 GB y Memoria RAM: 2 GB.";;;;false;false
